weather_forecast,location,email,social_media,flyers_distributed,others,rating,attendance
Rain,Theater,303,848,586,513,5,2286
Storm,Stadium,68,876,416,375,4,1933
Partly Cloudy,Park,360,562,957,21,7,26653
Storm,Arena,601,756,215,882,5,2330
Storm,Park,957,914,406,312,7,2883
Extreme Heat,Park,219,425,398,996,1,1244
Partly Cloudy,Theater,961,546,922,839,1,1392
Partly Cloudy,Stadium,703,301,714,518,10,39425
Partly Cloudy,Convention Center,965,921,703,205,3,1869
Storm,Stadium,574,580,760,951,2,1612
Rain,Stadium,584,348,498,374,2,1459
Partly Cloudy,Park,160,831,753,450,7,30436
Sunny,Stadium,680,932,464,625,10,47042
Storm,Arena,88,979,690,783,2,1565
Extreme Heat,Park,687,48,948,594,4,2037
Rain,Arena,780,916,973,178,2,1609
Sunny,Convention Center,584,73,730,209,6,2383
Sunny,Park,756,703,81,499,8,31027
Extreme Heat,Convention Center,588,260,603,463,10,3443
Rain,Park,158,355,946,839,4,2041
Storm,Theater,488,581,686,123,5,2205
Clear,Stadium,970,601,750,992,4,32609
Rain,Theater,323,259,771,112,3,1646
Extreme Heat,Convention Center,609,637,902,11,5,2266
Sunny,Stadium,380,742,364,125,9,27103
Storm,Park,101,294,162,564,8,2722
Rain,Stadium,493,930,47,330,8,2918
Clear,Arena,643,640,510,900,8,40209
Clear,Stadium,613,791,328,282,8,30676
Partly Cloudy,Arena,18,312,839,139,7,19033
Partly Cloudy,Stadium,453,611,115,400,8,24569
Extreme Heat,Arena,481,837,940,901,8,3309
Rain,Convention Center,593,808,848,96,8,3075
Rain,Theater,396,181,336,516,10,3280
Sunny,Park,278,685,880,568,7,33229
Sunny,Stadium,850,827,736,923,1,20515
Sunny,Theater,364,363,863,845,4,2067
Partly Cloudy,Park,330,187,839,68,4,14928
Rain,Park,640,568,146,117,5,2117
Rain,Arena,343,542,574,887,10,3588
Clear,Convention Center,821,595,805,58,6,2546
Partly Cloudy,Convention Center,454,663,322,32,4,1882
Storm,Theater,600,984,442,317,2,1537
Partly Cloudy,Convention Center,724,547,836,49,6,2517
Storm,Stadium,654,724,12,879,8,3053
Clear,Convention Center,64,925,942,488,8,3096
Extreme Heat,Theater,75,407,493,18,7,2462
Rain,Convention Center,710,875,700,725,6,2722
Clear,Stadium,142,617,286,196,2,9911
Rain,Arena,916,413,719,890,7,2975
Sunny,Theater,914,341,113,449,5,2192
Extreme Heat,Arena,827,219,479,989,6,2603
Extreme Heat,Arena,604,902,21,558,10,3500
Clear,Arena,472,162,348,678,8,25706
Extreme Heat,Park,416,950,725,451,8,3132
Storm,Park,304,219,682,288,3,1650
Extreme Heat,Arena,735,269,834,140,7,2722
Rain,Theater,496,631,565,83,1,1213
Rain,Stadium,290,905,905,693,1,1335
Rain,Stadium,939,847,809,390,7,2988
Rain,Convention Center,101,399,319,590,10,3273
Storm,Theater,985,181,125,214,9,3069
Partly Cloudy,Park,266,990,276,525,7,28673
Sunny,Arena,866,617,975,214,10,46567
Clear,Convention Center,967,728,203,402,5,2296
Rain,Stadium,621,204,193,127,8,2729
Extreme Heat,Park,973,581,680,821,2,1639
Rain,Park,841,555,663,476,9,3390
Extreme Heat,Arena,961,840,546,759,6,2745
Sunny,Stadium,941,812,695,403,9,45963
Sunny,Theater,776,227,285,28,2,1389
Sunny,Park,2,695,56,791,3,14045
Extreme Heat,Arena,84,618,733,337,8,2910
Rain,Theater,793,595,302,830,1,1302
Sunny,Stadium,327,849,162,713,10,36395
Storm,Park,815,249,18,360,7,2580
Extreme Heat,Theater,449,874,369,568,7,2796
Extreme Heat,Theater,453,440,263,391,1,1185
Rain,Theater,923,532,793,217,9,3369
Extreme Heat,Park,628,195,112,573,8,2834
Extreme Heat,Park,220,689,487,668,4,1996
Sunny,Convention Center,153,928,326,201,10,3340
